t,r
976614,3115.918163238566
976624,3118.698767114259
976634,3183.610528943514
976644,3204.3560975646888
976654,3191.811084635179
976664,3181.754233123608
976674,3185.3869466675474
976684,3137.803690481608
976694,3099.616750503197
976704,3096.6473806360323
976714,3123.7824828243083
976724,3103.655908763083
976734,3110.8431333000385
976744,3110.3004678004986
976754,3080.784964907483
976764,3133.063197575178
976774,3089.8391543897555
976784,3082.265400642845
976794,3137.583943100168
976804,3070.5546730191923
976814,3063.579932040292
976824,3018.5647251632686
976834,3047.7614736064893
976844,3004.5999733741596
976854,2963.360423573211
976864,2948.8574058438294
976874,2906.037852471987
976884,2899.9622411334944
976894,2861.9060082399633
976904,2836.0863879649364
976914,2803.905847206714
976924,2785.3847131051753
976934,2760.2979911596503
976944,2748.6573085781356
976954,2737.264327754994
976964,2699.0635413046502
976974,2650.481088406405
976984,2587.1265914137252
976994,2581.2620944026585
977004,2557.6053252994293
977014,2517.8169115326873
977024,2480.972591545501
977034,2488.190105277328
977044,2465.567885903773
977054,2408.923410986742
977064,2412.457875279898
977074,2407.4638107352725
977084,2379.0016813781363
977094,2385.4192503625018
977104,2371.334012744725
977114,2372.2415559971964
977124,2351.8301384241167
977134,2322.0977584933844
977144,2307.110747233431
977154,2255.41348758936
977164,2234.763969639747
977174,2207.6723035813084
977184,2216.827688387169
977194,2187.3966261288783
977204,2180.5925800112227
977214,2171.7297253571865
977224,2173.716862887161
977234,2134.8857112267156
977244,2099.4344476548918
977254,2082.6437525414663
977264,2037.7526837180217
977274,2046.8368278883395
977284,2012.6244060927017
977294,2030.4849174519863
977304,2005.790118631558
977314,2036.5473232900827
977324,2020.038861012332
977334,2021.2117652537054
977344,2003.0898631863724
977354,1979.9204529475421
977364,2000.0929978378506
977374,1967.5466957609926
977384,1955.8159422604163
977394,1962.2441234464177
977404,1966.9041664504146
977414,1966.2220118796351
977424,1985.0191434845156
977434,2000.1912408567337
977444,1997.1825154451958
977454,2002.0
977464,1994.5397965445563
977474,2007.3666829954113
977484,2000.3239737602507
977494,2059.7720747694393
977504,2048.5079936382967
977514,2085.522716251252
977524,2101.109468828314
977534,2099.4201580436443
977544,2074.3791842380215
977554,2102.419796329934
977564,2154.349321721062
977574,2162.0686853104366
977584,2161.5721130695592
977594,2174.7133144393997
977604,2198.3823598273343
977614,2195.6762056368875
977624,2159.1037492441164
977634,2225.5736339200284
977644,2264.9911699607133
977654,2318.0034512485095
977664,2286.1366975751907
977674,2336.439385047256
977684,2382.0751457500246
977694,2401.882594965874
977704,2434.730375216114
977714,2480.4289951538626
977724,2458.095400915107
977734,2507.8614395536288
977744,2528.3310700934717
977754,2592.8835299719885
977764,2618.893850464352
977774,2635.7080642590145
977784,2659.5482699135205
977794,2730.8315583352996
977804,2740.7451541506007
977814,2802.0144539241765
977824,2819.4299069138074
977834,2870.786651773343
977844,2889.380902546426
977854,2938.419983596627
977864,2991.289019804004
977874,3035.254355074711
977884,3064.043243820165
977894,3098.16026054173
977904,3130.9827530665193
977914,3168.9185852590153
977924,3245.44742678109
977934,3222.9973627044747
977944,3224.147174060142
977954,3253.9817147611634
977964,3260.451042417291
977974,3291.882136407681
977984,3290.16185012227
977994,3322.1884353540213
978004,3315.507804243567
978014,3361.817514381172
978024,3393.498637100065
978034,3452.0696690536242
978044,3452.3038684333683
978054,3479.8718367204274
978064,3513.2062279348193
978074,3514.487160312298
978084,3502.3614890527792
978094,3554.726009132068
978104,3554.9022490076995
978114,3598.8205012198096
978124,3638.9009329741307
978134,3650.328889292032
978144,3688.957034176462
978154,3703.8120902659193
978164,3750.216260430857
978174,3765.9320227534645
978184,3822.921657580757
978194,3785.4640402465852
978204,3838.520548336299
978214,3854.752002399117
978224,3856.532250610644
978234,3899.651779325944
978244,3940.7027292096013
978254,3955.7603567455903
978264,3955.5957831911996
978274,3974.142674841959
978284,3958.1291035033205
978294,3981.9224000474946
978304,3977.7924782472
978314,3968.5896739269983
978324,4038.0846945055523
978334,3984.5969683269095
978344,4030.0483868062925
978354,4009.4449740581304
978364,4020.0537309842016
978374,4061.2762772310875
978384,4033.485465450446
978394,4013.393202764962
978404,4045.8395914816
978414,4017.203255997884
978424,4042.1622926349705
978434,4010.727240788134
978444,4042.9970319059103
978454,4023.0800389751134
978464,3986.3868352180775
978474,4016.7511747679864
978484,3992.3007151265547
978494,3977.31882051213
978504,3978.0268978477256
978514,4002.973394865372
978524,3989.936590974849
978534,3977.227300519798
978544,3962.922280338084
978554,3972.6953067155805
978564,3947.875504622708
978574,3932.745860083003
978584,3905.3625952016287
978594,3901.5280339887345
978604,3848.9749284712157
978614,3874.1484225568847
978624,3860.264239660285
978634,3815.0597636210105
978644,3783.2400135333737
978654,3755.36376400476
978664,3750.560624759984
978674,3676.164985416188
978684,3659.8264986198456
978694,3676.1471678919493
978704,3639.0240449878866
978714,3615.713069368199
978724,3574.9811188312588
978734,3541.749426484036
978744,3555.132205699248
978754,3491.468458972528
978764,3481.758320159514
978774,3463.161561348243
978784,3402.2792360416274
978794,3402.9612104753705
978804,3384.879466096245
978814,3377.6768643551445
978824,3329.9159148543076
978834,3360.912078588192
978844,3314.7865692982405
978854,3292.887183005212
978864,3281.1755515363698
978874,3262.775812096197
978884,3258.310144845024
978894,3230.8984818468066
978904,3207.701357670318
978914,3218.97002160629
978924,3236.988724107639
978934,3175.140469333601
978944,3179.642275476913
978954,3123.530854657914
978964,3143.7445825003024
978974,3085.6773972662795
978984,3036.518565726217
978994,2991.9124318736335
979004,2994.56657965723
979014,2933.285529913513
979024,2890.1211047290044
979034,2906.585797804703
979044,2893.116831377537
979054,2858.389056794054
979064,2823.9436963225735
979074,2820.33987313586
979084,2792.414367532154
979094,2754.368348641844
979104,2773.4233358793244
979114,2765.5426230669455
979124,2722.8038857031183
979134,2739.8490834350714
979144,2689.1563732888426
979154,2733.279531990828
979164,2689.470208052136
979174,2690.563138080948
979184,2692.1827575408024
979194,2647.7088208486975
979204,2641.22698759497
979214,2610.161106138853
979224,2596.4523873932294
979234,2544.5239240376577
