real,cpu
956500,957000
968875,958000
952333,951000
1009250,1011000
1010959,975000
1123708,1071000
1198958,1135000
955709,952000
997333,998000
936667,936000
934791,935000
953125,953000
966084,966000
939916,939000
934209,934000
941416,943000
957459,953000
943666,944000
1016875,995000
1102792,1101000
1125417,1070000
1027958,987000
977792,974000
1006833,996000
967000,956000
951000,941000
987958,979000
992584,977000
955500,952000
1035250,1015000
955625,952000
982125,957000
960083,954000
968958,963000
936875,936000
985375,964000
939875,941000
966750,966000
1021125,1018000
1208917,1164000
1104500,1179000
1111875,1187000
1125542,1209000
1266041,1341000
1120250,1198000
1012167,995000
956875,953000
941250,941000
972708,973000
936375,936000
952500,952000
1006834,973000
934875,935000
953375,954000
1056375,1035000
1171625,1110000
987583,984000
950292,949000
922583,924000
949042,948000
946541,947000
942667,943000
997833,979000
967667,967000
988458,975000
954000,938000
991792,979000
968667,971000
1013208,992000
982667,983000
957333,957000
1068875,1035000
1099417,1081000
973291,957000
988667,987000
943125,943000
955125,955000
953958,954000
961250,960000
948584,949000
1076833,1067000
983458,971000
1010917,977000
976167,975000
1011666,992000
987459,974000
1112958,1111000
1107250,1063000
1010625,982000
969167,957000
941958,941000
959042,957000
961333,961000
952417,953000
946458,947000
972667,975000
989375,978000
988208,972000
963083,950000
977709,970000
959500,957000
980125,979000
1001541,969000
939750,940000
1150834,1120000
1143291,1059000
1010834,1007000
961583,961000
959542,957000
965583,966000
1047625,1036000
993708,979000
976042,964000
965042,958000
988583,974000
1079375,1058000
999917,988000
990708,975000
992167,971000
975500,975000
1052125,1019000
1080000,1019000
1028291,1013000
1125000,1085000
984250,969000
983542,964000
960833,961000
959459,960000
977333,977000
949417,949000
963000,963000
945208,945000
950542,951000
943208,943000
957875,958000
1071000,1054000
1071708,1069000
1054750,1012000
984792,963000
972208,958000
1004917,1007000
981042,972000
943000,942000
953625,954000
937458,938000
951625,951000
1106542,1150000
1123458,1195000
1126500,1195000
1142875,1212000
1131208,1178000
1158584,1244000
1190375,1285000
1263833,1290000
1192083,1243000
1124584,1199000
1121375,1206000
1119916,1199000
1134667,1217000
1105250,1183000
1122917,1197000
1131083,1203000
1141542,1203000
1102750,1183000
1090583,1175000
1154333,1208000
1218042,1289000
1144292,1220000
1231541,1286000
1003542,995000
946125,946000
943667,944000
944583,946000
984292,956000
1097333,1167000
1121125,1199000
1308125,1480000
1121667,1024000
988583,974000
965667,962000
990375,993000
964916,963000
957209,956000
1053166,1054000
1141792,1061000
996917,957000
934333,933000
957292,954000
943291,942000
988167,984000
981625,981000
936875,936000
934875,935000
944458,944000
945000,946000
938709,939000
945208,945000
946125,947000
948625,947000
992000,972000
1171375,1168000
1083792,1025000
984916,971000
958875,948000
1011125,986000
999667,990000
985375,973000
946792,946000
966125,953000
969916,952000
951334,949000
979666,963000
945500,941000
939792,941000
954375,954000
973417,959000
1073166,1022000
1062334,1035000
1015541,987000
996834,975000
1132250,1084000
966583,964000
932625,932000
929208,929000
930917,931000
987958,976000
1048584,1041000
989541,976000
952042,940000
978625,951000
948875,945000
946292,947000
995250,979000
935916,935000
949209,949000
1064875,1033000
1150916,1103000
951542,946000
934042,935000
917750,917000
954708,957000
939833,938000
984625,985000
950042,949000
969833,970000
972417,975000
976000,956000
944375,946000
975583,957000
988834,965000
947500,946000
944416,945000
1040292,1019000
1188958,1145000
980709,975000
944333,944000
951208,952000
970000,972000
974417,967000
992000,979000
962458,955000
966084,960000
966333,966000
976375,975000
975042,965000
986541,966000
1019250,983000
946792,947000
1112917,1108000
1115583,1020000
963417,961000
953833,956000
1129417,1207000
1125916,1204000
1113000,1190000
1110375,1187000
1158084,1238000
1123958,1194000
1095917,1168000
1099375,1171000
1228583,1312000
1165625,1250000
1196833,1287000
1155334,1142000
1100708,1083000
1042500,1043000
1065833,1065000
1063625,1064000
1038584,1037000
1069166,1070000
1049000,1049000
1022167,1025000
970833,945000
957334,958000
938750,938000
974000,975000
958333,958000
973333,953000
940625,939000
936084,936000
962791,963000
1097959,1048000
1044125,1006000
964708,953000
993750,975000
994083,979000
970334,969000
949125,950000
986166,975000
1015250,989000
942334,942000
966500,948000
1023333,1013000
976167,968000
987666,954000
1029709,1031000
1166708,1140000
1007333,981000
990125,959000
944209,944000
944375,945000
968125,967000
957166,958000
944542,944000
942292,942000
968583,970000
951208,946000
987250,987000
944459,944000
939500,940000
942750,943000
1004125,1003000
1045333,1032000
1050833,1020000
1000709,969000
945333,929000
969208,981000
958000,946000
955042,955000
952167,952000
955958,956000
1029625,1021000
983000,983000
964708,956000
962125,959000
985792,968000
973375,961000
947000,948000
1003167,976000
1107166,1099000
1034542,1000000
964625,959000
948917,949000
949583,952000
957042,955000
942750,942000
956791,957000
979375,978000
995334,976000
989291,964000
962334,955000
933208,933000
997750,982000
985167,982000
961958,947000
981750,962000
942292,941000
1036000,1032000
1140375,1092000
1021500,985000
964125,951000
954125,953000
970791,974000
988792,945000
950292,950000
933875,933000
949458,950000
1000542,996000
1038875,1026000
954416,948000
966625,967000
952750,952000
1036125,1009000
953667,954000
959125,959000
1013208,981000
1270875,1218000
1230209,1313000
1057083,1029000
991292,975000
1009541,980000
988334,970000
1000625,993000
947916,945000
972584,968000
952875,953000
959291,959000
965375,965000
998209,994000
988958,975000
1159792,1130000
1045666,996000
983209,956000
942041,942000
1001959,984000
993250,984000
963208,961000
977417,967000
1000625,988000
966750,949000
939208,935000
935458,936000
959750,960000
939209,940000
943791,943000
943959,944000
960375,950000
1119583,1117000
1078500,1040000
994792,971000
944208,943000
941542,942000
947208,947000
956417,960000
977541,974000
1002667,956000
1003042,967000
973166,972000
992417,992000
962667,957000
977041,958000
940792,941000
956875,957000
970208,953000
1024750,1020000
1173209,1098000
1032958,988000
974417,975000
939750,939000
948583,949000
945333,945000
960667,961000
972375,975000
984958,982000
950625,949000
956750,953000
948209,952000
972416,960000
1022959,1020000
979208,978000
1014167,982000
931958,932000
984792,985000
1073791,1035000
1218750,1135000
955375,950000
921292,921000
949667,951000
964458,965000
938750,937000
938208,938000
940709,940000
945833,947000
990792,989000
995750,979000
944375,941000
954916,956000
958417,958000
1098917,1094000
1083625,1034000
997125,974000
996625,974000
947208,947000
992125,981000
937375,936000
1022167,1021000
980375,972000
950416,949000
954459,955000
1254541,1346000
1041167,1036000
978167,961000
971666,962000
1053209,1076000
1095833,1173000
1148417,1215000
1345083,1341000
1006292,1007000
1054916,1075000
1141292,1199000
976292,957000
919583,919000
930875,932000
914500,913000
965708,967000
956084,955000
986625,963000
956041,956000
1017125,1013000
983500,966000
928292,927000
1075875,1070000
1076125,1009000
1009875,985000
962375,963000
980000,962000
949792,946000
981500,969000
991750,991000
969708,961000
961083,951000
956000,943000
952417,953000
935292,935000
934833,935000
957875,946000
1029917,1003000
1113666,1110000
1071834,1017000
1037958,996000
968125,965000
1002458,973000
984292,984000
1042667,1030000
981250,982000
948500,948000
976166,977000
953209,951000
986250,972000
965666,969000
