timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
943264,463,68,2020,34,-9,-83,97328.625000,1,0,0,0,33.764679,130.896164
943274,461,77,2021,43,-3,-81,97328.796875,1,0,0,0,33.764679,130.896164
943284,479,83,2037,33,-15,-80,97328.796875,1,0,0,0,33.764679,130.896164
943294,492,79,2033,27,-35,-83,97328.796875,1,0,0,0,33.764679,130.896164
943304,481,83,2015,51,-25,-72,97328.796875,1,0,0,0,33.764679,130.896164
943314,492,80,2009,46,-14,-75,97329.132812,1,0,0,0,33.764679,130.896164
943324,469,72,2012,23,-29,-43,97329.132812,1,0,0,0,33.764679,130.896164
943334,480,86,2023,46,1,-35,97329.132812,1,0,0,0,33.764679,130.896164
943344,484,80,2030,44,-37,-70,97329.132812,1,0,0,0,33.764679,130.896164
943354,469,79,2021,39,-19,-77,97328.625000,1,0,0,0,33.764679,130.896164
943364,471,93,2020,47,-33,-76,97328.625000,1,0,0,0,33.764679,130.896164
943374,487,78,2018,42,-45,-64,97328.625000,1,0,0,0,33.764679,130.896164
943384,461,59,2035,48,-8,-82,97328.625000,1,0,0,0,33.764679,130.896164
943394,484,85,2032,23,-24,-64,97328.625000,1,0,0,0,33.764679,130.896164
943404,493,69,2017,47,2,-113,97328.625000,1,0,0,0,33.764679,130.896164
943414,486,63,2033,38,-1,-91,97328.625000,1,0,0,0,33.764679,130.896164
943424,473,84,2005,32,-28,-60,97328.625000,1,0,0,0,33.764679,130.896164
943434,481,76,2021,27,-58,-64,97329.515625,1,0,0,0,33.764679,130.896164
943444,478,76,2022,22,-58,-19,97329.515625,1,0,0,0,33.764679,130.896164
943454,477,101,2025,24,-38,-71,97329.515625,1,0,0,0,33.764679,130.896164
943464,476,63,2021,32,-25,-69,97329.515625,1,0,0,0,33.764679,130.896164
943474,494,91,2024,42,-14,-63,97329.000000,1,0,0,0,33.764679,130.896164
943484,480,91,2024,51,234,-79,97329.000000,1,0,0,0,33.764679,130.896164
